epoch,train_loss,val_loss,train_accuracy,val_accuracy,overfitting_gap,learning_rate
1,0.2965,0.1967,87.09,91.44,-4.35,0.000100
2,0.1140,0.1493,95.94,93.97,1.97,0.000098
3,0.0730,0.1327,97.30,94.57,2.73,0.000090
4,0.0517,0.1009,98.26,96.02,2.24,0.000079
5,0.0420,0.0943,98.59,96.26,2.33,0.000065
6,0.0335,0.0884,98.88,96.62,2.26,0.000050
7,0.0299,0.0791,99.03,97.47,1.56,0.000035
8,0.0242,0.0642,99.23,97.83,1.40,0.000021
9,0.0210,0.0602,99.33,98.07,1.26,0.000010
10,0.0172,0.0612,99.53,97.95,1.58,0.000002
11,0.0312,0.0423,98.93,98.31,0.62,0.000010
12,0.0132,0.0332,99.56,98.31,1.25,0.000010
13,0.0082,0.0203,99.74,99.16,0.58,0.000010
14,0.0057,0.0456,99.82,98.67,1.15,0.000009
15,0.0083,0.0268,99.82,98.91,0.91,0.000009

# GENERALIZATION METRICS
Max Overfitting Gap,2.73
Best Val Accuracy,99.16
Best Epoch,13
Training Time (s),2700.0
Test Accuracy,98.22
Train/Test Accuracy Delta,0.94
CV Mean +/- Std,TBD (run train.py --cv)
